DRR090493	DRR090494	DRR090495	DRR090496	DRR090497	DRR090498	DRR090499	DRR090500	DRR090501	DRR090502	DRR090503	DRR090504	DRR090505	DRR090506	DRR090507	DRR090508	DRR090509	DRR090510	DRR090511	DRR090512
ASV.475	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175
ASV.477	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0
ASV.487	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0
ASV.488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	92	32
ASV.489	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0
ASV.492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0
ASV.495	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0
ASV.497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0
ASV.501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0
ASV.505	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0
ASV.508	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0
ASV.512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0
ASV.513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0
ASV.518	0	0	100	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.527	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0
ASV.532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0
ASV.539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0
ASV.541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0
