asvLen	totReads	numSamps
ASV.1546	325	27	1
ASV.1548	219	27	1
ASV.1549	318	27	1
ASV.1554	270	27	2
ASV.1555	328	27	1
ASV.1556	319	27	1
ASV.1557	292	27	1
ASV.1559	213	27	1
ASV.1560	265	27	2
ASV.1562	289	27	1
ASV.1564	315	27	1
ASV.1565	328	27	1
ASV.1566	325	27	1
ASV.1568	326	27	1
ASV.1569	265	27	1
ASV.1570	328	27	1
ASV.1571	374	27	1
ASV.1572	291	27	1
ASV.1575	214	27	1
ASV.1577	292	26	1
ASV.1578	323	26	2
ASV.1579	235	26	3
ASV.1580	360	26	1
ASV.1584	236	26	1
ASV.1588	228	26	2
ASV.1590	262	26	1
ASV.1591	378	26	2
ASV.1592	328	26	1
ASV.1593	291	26	1
ASV.1594	328	26	1
ASV.1595	328	26	1
ASV.1596	207	26	1
ASV.1597	377	26	2
ASV.1600	347	26	2
ASV.1601	328	26	1
ASV.1602	328	26	1
ASV.1603	328	26	1
ASV.1604	328	26	1
ASV.1605	266	26	2
ASV.1606	312	26	2
ASV.1607	328	26	1
ASV.1609	271	26	1
ASV.1610	347	26	1
ASV.1611	236	26	1
ASV.1612	352	26	1
ASV.1613	277	26	1
ASV.1614	328	26	1
ASV.1615	328	26	1
ASV.1620	364	26	1
ASV.1621	253	26	1
ASV.1622	260	26	1
ASV.1623	214	26	1
ASV.1624	318	26	1
ASV.1625	241	26	1
ASV.1633	328	25	3
ASV.1636	209	25	1
ASV.1637	234	25	1
ASV.1638	331	25	2
ASV.1639	346	25	2
ASV.1641	328	25	1
ASV.1645	328	25	1
ASV.1646	325	25	1
ASV.1647	232	25	2
ASV.1650	328	25	1
ASV.1651	328	25	1
ASV.1652	328	25	1
ASV.1653	320	25	1
ASV.1654	342	25	1
ASV.1655	331	25	1
ASV.1656	379	25	2
ASV.1659	214	25	1
ASV.1660	325	25	1
ASV.1661	328	25	1
ASV.1662	322	25	1
ASV.1663	253	25	1
ASV.1664	247	25	1
ASV.1665	322	24	1
ASV.1666	325	24	1
ASV.1668	328	24	1
ASV.1670	272	24	2
ASV.1671	222	24	1
ASV.1673	262	24	1
ASV.1674	364	24	1
ASV.1676	240	24	1
ASV.1677	320	24	1
ASV.1678	204	24	1
ASV.1679	203	24	3
ASV.1680	260	24	2
ASV.1682	328	24	1
ASV.1683	325	24	1
ASV.1685	325	24	1
ASV.1686	270	24	2
ASV.1688	325	24	1
ASV.1689	372	24	1
ASV.1690	196	24	2
ASV.1692	229	24	2
ASV.1693	355	24	1
ASV.1694	328	24	1
ASV.1695	374	24	1
ASV.1696	328	24	1
ASV.1697	328	24	1
ASV.1701	228	24	2
ASV.1702	284	24	2
ASV.1703	328	24	1
ASV.1704	274	24	1
ASV.1705	319	24	1
ASV.1706	328	24	1
ASV.1709	303	24	1
ASV.1710	260	24	1
ASV.1711	226	24	1
ASV.1712	262	24	1
ASV.1714	346	24	1
ASV.1715	328	24	1
ASV.1716	198	24	1
ASV.1717	251	24	1
ASV.1718	348	23	1
ASV.1727	334	23	1
ASV.1728	369	23	1
ASV.1729	280	23	1
ASV.1730	345	23	1
ASV.1731	288	23	2
ASV.1732	313	23	5
ASV.1733	295	23	1
ASV.1738	325	23	1
ASV.1740	316	23	1
ASV.1741	203	23	2
ASV.1744	223	23	1
ASV.1747	304	23	2
ASV.1748	323	23	1
ASV.1750	328	23	1
ASV.1751	260	23	1
ASV.1752	328	23	1
ASV.1754	361	23	1
ASV.1755	205	23	2
ASV.1756	265	23	1
ASV.1757	328	23	1
ASV.1758	351	23	1
ASV.1759	325	23	1
ASV.1760	328	23	1
ASV.1762	328	23	1
ASV.1763	255	23	1
ASV.1764	274	23	1
ASV.1765	288	23	1
ASV.1766	247	23	1
ASV.1767	298	23	1
ASV.1771	208	22	1
ASV.1772	246	22	1
ASV.1773	262	22	2
ASV.1774	247	22	2
ASV.1775	255	22	2
ASV.1776	378	22	1
ASV.1777	300	22	1
ASV.1778	216	22	1
ASV.1779	338	22	2
ASV.1780	352	22	2
ASV.1781	264	22	1
ASV.1786	328	22	1
ASV.1787	325	22	1
ASV.1788	362	22	1
ASV.1789	290	22	1
ASV.1790	280	22	1
ASV.1791	296	22	1
ASV.1793	291	22	2
ASV.1794	328	22	1
ASV.1795	328	22	1
ASV.1796	248	22	1
ASV.1798	277	22	1
ASV.1799	328	22	1
ASV.1801	343	22	1
