AUID_updt	AUID_OLD
AUID.33043	AUID.13498
AUID.16498	AUID.23882
AUID.42190	AUID.15968
AUID.44752	AUID.18250
AUID.43748	AUID.17355
AUID.12937	AUID.20729
AUID.2526	AUID.2589
AUID.3804	AUID.2579
AUID.3520	AUID.2547
AUID.3568	AUID.2553
AUID.2688	AUID.2603
AUID.2955	AUID.2531
AUID.3511	AUID.2546
AUID.3388	AUID.2537
AUID.15671	AUID.23152
AUID.6671	AUID.7284
AUID.34606	AUID.10560
AUID.35604	AUID.13861
AUID.50243	AUID.45107
AUID.14341	AUID.21972
AUID.89089	AUID.87677
AUID.114	AUID.190
AUID.41826	AUID.15641
AUID.44243	AUID.17803
AUID.24433	AUID.12557
AUID.24970	AUID.12618
AUID.12414	AUID.20266
AUID.41789	AUID.15607
AUID.11816	AUID.19737
AUID.13311	AUID.21060
AUID.11629	AUID.19569
AUID.40975	AUID.10219
AUID.42935	AUID.16634
AUID.14454	AUID.22071
AUID.42552	AUID.16290
AUID.95627	AUID.86807
AUID.42982	AUID.10894
AUID.11778	AUID.11244
AUID.39552	AUID.14568
AUID.41976	AUID.15776
AUID.44431	AUID.17967
AUID.34572	AUID.13711
AUID.29034	AUID.13044
AUID.11739	AUID.19665
AUID.18815	AUID.10361
AUID.44603	AUID.11057
AUID.41762	AUID.10771
AUID.22641	AUID.29326
AUID.20953	AUID.27814
AUID.38821	AUID.14467
AUID.40901	AUID.10710
AUID.13288	AUID.21040
AUID.15510	AUID.11634
AUID.27890	AUID.12939
AUID.39566	AUID.14570
AUID.11353	AUID.19325
AUID.16786	AUID.24141
AUID.16016	AUID.11687
AUID.35751	AUID.13919
AUID.93909	AUID.86690
AUID.90730	AUID.86456
AUID.21751	AUID.12286
AUID.40075	AUID.14630
AUID.24183	AUID.30690
AUID.35602	AUID.13859
AUID.86414	AUID.86865
AUID.92174	AUID.86570
AUID.88662	AUID.87272
AUID.88599	AUID.86309
AUID.41938	AUID.15742
AUID.87744	AUID.86973
AUID.88078	AUID.86994
AUID.13824	AUID.10304
AUID.25458	AUID.12666
AUID.22856	AUID.29509
AUID.12611	AUID.20439
AUID.15065	AUID.22615
AUID.13543	AUID.21267
AUID.24992	AUID.31398
AUID.16622	AUID.23995
AUID.20665	AUID.27570
AUID.10577	AUID.18636
AUID.12431	AUID.20280
AUID.26090	AUID.12726
AUID.21834	AUID.28603
AUID.21495	AUID.10392
AUID.38237	AUID.14288
AUID.10532	AUID.18597
AUID.43211	AUID.16878
AUID.22330	AUID.12345
AUID.22552	AUID.29249
AUID.149734	AUID.144714
AUID.12025	AUID.19921
AUID.16775	AUID.11768
AUID.30934	AUID.13241
AUID.44195	AUID.17760
AUID.90257	AUID.86416
AUID.11344	AUID.19317
AUID.44476	AUID.11042
AUID.12573	AUID.20405
AUID.21664	AUID.28460
AUID.28766	AUID.13018
AUID.42507	AUID.10845
AUID.15468	AUID.22971
AUID.59403	AUID.57281
AUID.42809	AUID.16521
AUID.13012	AUID.20795
AUID.10374	AUID.18455
AUID.20537	AUID.27454
AUID.11537	AUID.19487
AUID.38420	AUID.14359
AUID.10367	AUID.18449
AUID.10368	AUID.18450
AUID.93801	AUID.86682
AUID.625	AUID.76
AUID.17	AUID.104
AUID.42372	AUID.10832
AUID.88653	AUID.86314
AUID.10604	AUID.18659
AUID.14374	AUID.11514
AUID.43478	AUID.17115
AUID.43818	AUID.17418
AUID.42570	AUID.16305
AUID.31380	AUID.13327
AUID.11673	AUID.19608
AUID.19892	AUID.12093
AUID.29527	AUID.13117
AUID.17600	AUID.11856
AUID.42077	AUID.15867
AUID.97062	AUID.96967
AUID.97601	AUID.96960
AUID.97965	AUID.96965
AUID.97177	AUID.96968
AUID.43370	AUID.17020
AUID.40775	AUID.14975
AUID.43289	AUID.10925
AUID.18703	AUID.25840
AUID.16792	AUID.24146
AUID.41087	AUID.15165
AUID.15609	AUID.11642
AUID.41974	AUID.15774
AUID.24755	AUID.12583
AUID.22743	AUID.12388
AUID.11339	AUID.11197
AUID.89511	AUID.86360
AUID.86496	AUID.86286
AUID.88981	AUID.86333
AUID.26603	AUID.12794
AUID.29212	AUID.13065
